10 

0 4 88 60 74 49 73 63 79 20 
90 0 55 37 3 22 41 95 50 62 
51 70 0 24 5 59 62 30 38 91 
90 34 37 0 83 38 34 49 75 9 
13 82 50 90 0 24 15 96 17 34 
16 15 1 4 21 0 95 77 28 32 
55 80 6 78 6 32 0 31 72 9 
44 94 45 19 27 47 88 0 76 75 
24 39 61 38 97 83 13 31 0 64 
15 95 76 54 54 21 1 61 68 0 

0 84 97 85 11 43 95 57 90 95 
23 0 77 29 56 81 84 61 30 89 
66 35 0 35 37 77 70 32 98 34 
36 84 79 0 76 79 60 93 72 61 
46 48 47 75 0 74 62 52 17 67 
11 77 62 23 46 0 86 58 27 68 
73 95 87 90 78 35 0 38 82 14 
29 83 95 20 33 20 39 0 38 69 
29 59 42 23 93 12 80 100 0 68 
87 17 78 61 30 85 92 66 66 0 
