10 

0 97 38 61 33 65 93 4 14 18 
88 0 13 94 91 4 82 93 23 89 
36 16 0 21 93 85 8 92 3 27 
8 85 75 0 11 67 29 46 84 97 
34 28 56 56 0 31 24 58 84 83 
51 84 22 26 67 0 72 65 97 25 
66 52 43 23 29 31 0 13 39 42 
40 95 38 93 81 67 9 0 31 33 
12 90 47 5 37 87 1 79 0 41 
74 56 63 1 73 64 38 34 14 0 

0 79 51 18 94 36 18 1 89 98 
91 0 56 62 91 44 57 26 4 24 
75 35 0 34 69 41 23 19 85 11 
47 98 98 0 2 20 51 46 93 98 
49 55 21 100 0 18 44 56 76 37 
6 50 74 86 100 0 15 86 75 54 
10 25 47 48 97 49 0 3 55 18 
55 17 81 62 28 75 79 0 67 82 
21 29 20 52 19 6 6 33 0 19 
42 91 100 94 49 29 42 43 15 0 
