10 

0 83 39 53 41 17 52 19 50 90 
39 0 81 50 52 5 9 100 26 94 
67 14 0 3 73 12 41 90 37 16 
2 59 5 0 30 87 81 80 39 22 
45 30 77 79 0 40 15 100 2 48 
88 53 20 87 90 0 89 4 32 54 
36 92 79 61 4 81 0 54 87 47 
5 83 96 57 4 34 37 0 6 86 
95 64 63 10 47 38 3 16 0 36 
23 38 83 1 26 38 41 30 39 0 

0 72 91 71 50 12 61 63 34 50 
7 0 49 69 2 64 45 74 6 57 
15 99 0 71 65 39 35 87 86 55 
5 21 55 0 88 67 11 72 97 35 
31 2 80 76 0 29 96 47 69 60 
65 37 78 72 8 0 68 40 70 30 
65 24 5 47 80 55 0 78 32 99 
99 79 97 85 9 21 19 0 37 63 
44 33 4 26 23 10 73 13 0 9 
86 77 41 72 12 21 39 100 35 0 
